GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Standard of living index,Standard of living state rank,Health index,Health state rank,Education index,Education state rank,HDI,HDI state rank
baratagi,1836.0,528.0,0.0844,4980.0,1.0,1.0,0.7248,877.0,0.39399999999999996,4299.0
bijjaragi,1376.0,310.0,0.1205,3583.0,0.9255,4748.0,0.6265,4098.0,0.4119,3833.0
bolachikkalaki,888.0,184.0,0.0821,5062.0,0.951,4134.0,0.5595,5177.0,0.3521,5143.0
devar gennur,1421.0,329.0,0.0985,4469.0,0.951,4134.0,0.5562,5205.0,0.3736,4753.0
ghonasagi,1431.0,236.0,0.0772,5205.0,0.8722,5365.0,0.5267,5455.0,0.3286,5474.0
gunadal,1383.0,660.0,0.1022,4318.0,0.7422,5818.0,0.6945,1912.0,0.3748,4729.0
gunaki,1775.0,518.0,0.0958,4580.0,0.8722,5365.0,0.596,4703.0,0.3679,4848.0
hadagali,483.0,138.0,0.067,5453.0,0.951,4134.0,0.4834,5649.0,0.3134,5619.0
halagani,1354.0,429.0,0.1045,4230.0,0.8443,5544.0,0.5735,5026.0,0.3698,4819.0
hegadihal,1439.0,207.0,0.1029,4296.0,1.0,1.0,0.6774,2530.0,0.4115,3845.0
hittanahalli,1464.0,355.0,0.1084,4084.0,1.0,1.0,0.6466,3566.0,0.4124,3819.0
honaganhalli,1064.0,420.0,0.1235,3467.0,1.0,1.0,0.6095,4468.0,0.4222,3530.0
honawad,1628.0,305.0,0.0974,4517.0,0.7856,5761.0,0.5801,4933.0,0.354,5118.0
honnutagi,921.0,190.0,0.0695,5395.0,0.9758,2796.0,0.5088,5550.0,0.3255,5504.0
jainapur,1247.0,336.0,0.1034,4274.0,1.0,1.0,0.6729,2693.0,0.4114,3854.0
jalageri,1440.0,248.0,0.0979,4497.0,0.9255,4748.0,0.4737,5674.0,0.3501,5172.0
jambagi (a),1440.0,252.0,0.0834,5012.0,0.8722,5365.0,0.7176,1110.0,0.3738,4751.0
kakhandaki,2347.0,379.0,0.1178,3699.0,0.6348,5871.0,0.5307,5427.0,0.3411,5296.0
kambagi,1189.0,595.0,0.0921,4728.0,0.951,4134.0,0.6261,4103.0,0.3799,4625.0
kanmadi,1462.0,1035.0,0.1233,3473.0,0.9758,2796.0,0.6261,4102.0,0.4224,3525.0
kannur,1872.0,363.0,0.1317,3104.0,0.879,5288.0,0.6738,2654.0,0.4273,3363.0
karajol,1117.0,847.0,0.1113,3982.0,0.9758,2796.0,0.5719,5048.0,0.396,4244.0
kotyal,1216.0,93.0,0.1025,4304.0,0.8992,5081.0,0.6549,3313.0,0.3923,4343.0
kumathe,1804.0,228.0,0.0899,4810.0,0.9758,2796.0,0.5644,5123.0,0.3672,4863.0
lohaga0n,1513.0,303.0,0.0879,4863.0,0.8722,5365.0,0.511,5539.0,0.3396,5321.0
madabhavi,1456.0,169.0,0.086,4915.0,1.0,1.0,0.5654,5116.0,0.365,4906.0
makhanapur,1393.0,212.0,0.0846,4972.0,0.7667,5785.0,0.522,5478.0,0.3236,5529.0
mamadapur,1529.0,245.0,0.1242,3431.0,1.0,1.0,0.6997,1722.0,0.44299999999999995,2836.0
nagathan,435.0,169.0,0.0799,5126.0,0.8992,5081.0,0.522,5479.0,0.3348,5398.0
nidoni,1672.0,408.0,0.0853,4950.0,0.7856,5761.0,0.6694,2804.0,0.3553,5087.0
sarawad,1653.0,340.0,0.1118,3954.0,1.0,1.0,0.5459,5305.0,0.3937,4306.0
shivanagi,1078.0,208.0,0.1002,4400.0,1.0,1.0,0.4806,5656.0,0.3638,4929.0
siddapur-k,819.0,199.0,0.0852,4954.0,0.9758,2796.0,0.5747,5014.0,0.3628,4952.0
tajapur .h,2317.0,220.0,0.0328,5859.0,0.9758,2796.0,0.5774,4975.0,0.2644,5843.0
takkalaki,1057.0,134.0,0.0926,4708.0,0.951,4134.0,0.5891,4806.0,0.373,4765.0
tidagundi,917.0,230.0,0.0892,4832.0,0.8155,5661.0,0.5795,4943.0,0.348,5207.0
tikota,2536.0,1102.0,0.1345,2958.0,0.951,4134.0,0.6782,2504.0,0.4426,2851.0
torvi,1460.0,363.0,0.1238,3453.0,1.0,1.0,0.628,4059.0,0.4268,3384.0
agarakhed,1505.0,164.0,0.0634,5528.0,0.9255,4748.0,0.5228,5472.0,0.313,5622.0
ahirasang,746.0,210.0,0.0892,4830.0,0.7856,5761.0,0.6259,4109.0,0.3527,5137.0
anjutagi,1787.0,924.0,0.0779,5181.0,0.8135,5711.0,0.4479,5752.0,0.3051,5691.0
atharga,2223.0,396.0,0.1009,4361.0,0.8992,5081.0,0.7515,294.0,0.4085,3932.0
babalad,983.0,295.0,0.0976,4510.0,0.9255,4748.0,0.5996,4641.0,0.3783,4660.0
ballolli,1111.0,513.0,0.0857,4928.0,0.8722,5365.0,0.6118,4420.0,0.3577,5051.0
baradol,1846.0,403.0,0.0966,4546.0,0.9255,4748.0,0.5779,4966.0,0.3725,4775.0
basanal,1418.0,414.0,0.0945,4644.0,0.8443,5544.0,0.5355,5390.0,0.3496,5184.0
benakanhalli,1582.0,263.0,0.2486,380.0,1.0,1.0,0.7149,1194.0,0.5622,310.0
bhatagunki,1264.0,289.0,0.0796,5136.0,0.8992,5081.0,0.6737,2665.0,0.364,4925.0
chikkabevanur,782.0,238.0,0.115,3816.0,0.951,4134.0,0.7269,803.0,0.43,3281.0
devarnimbaragi,1142.0,225.0,0.0892,4831.0,0.9255,4748.0,0.6392,3759.0,0.3751,4725.0
dhulkhed,1470.0,552.0,0.0805,5110.0,0.8443,5544.0,0.6401,3732.0,0.3517,5152.0
hadalasang,1263.0,263.0,0.0926,4709.0,0.8722,5365.0,0.5685,5088.0,0.3581,5040.0
halasangi,1466.0,342.0,0.0853,4948.0,0.7856,5761.0,0.5851,4862.0,0.3398,5317.0
hanjagi,1470.0,271.0,0.0937,4675.0,0.9758,2796.0,0.6596,3149.0,0.3922,4345.0
hattalli,1523.0,199.0,0.0913,4752.0,0.9255,4748.0,0.5469,5297.0,0.3589,5024.0
hirebevanur,942.0,136.0,0.0778,5187.0,0.8992,5081.0,0.6622,3048.0,0.3592,5017.0
horti,1287.0,445.0,0.111,3996.0,0.8992,5081.0,0.6679999999999999,2852.0,0.4054,4007.0
inchageri,1659.0,561.0,0.0817,5073.0,0.8992,5081.0,0.6277,4071.0,0.3586,5028.0
jigajivani,1532.0,394.0,0.092,4730.0,0.8992,5081.0,0.5734,5028.0,0.36200000000000004,4964.0
khyadagi,968.0,270.0,0.0517,5740.0,0.8992,5081.0,0.6672,2880.0,0.3143,5614.0
koluragi,1286.0,170.0,0.1126,3921.0,0.8135,5711.0,0.5515,5255.0,0.3697,4822.0
lachyan,670.0,233.0,0.0928,4702.0,0.9255,4748.0,0.5111,5538.0,0.3528,5133.0
lalasangi,1315.0,212.0,0.1003,4394.0,0.7667,5785.0,0.6697,2794.0,0.3721,4784.0
loni.bk,1645.0,341.0,0.0857,4933.0,0.951,4134.0,0.7067,1479.0,0.3862,4482.0
masali.bk,1052.0,203.0,0.0533,5722.0,0.951,4134.0,0.6995,1728.0,0.3286,5473.0
miragi,892.0,113.0,0.0697,5391.0,0.951,4134.0,0.5483,5286.0,0.3313,5442.0
nada. kd,1270.0,213.0,0.0792,5147.0,0.8992,5081.0,0.6111,4438.0,0.3518,5148.0
nandaragi,1089.0,331.0,0.1053,4198.0,0.9255,4748.0,0.6499,3470.0,0.3986,4190.0
nimbal. kd,1423.0,235.0,0.079,5159.0,0.9255,4748.0,0.5916,4771.0,0.35100000000000003,5158.0
nivaragi,1069.0,144.0,0.0676,5440.0,0.9255,4748.0,0.5529,5245.0,0.3258,5500.0
padanur,777.0,265.0,0.0707,5360.0,0.9758,2796.0,0.6735,2674.0,0.3594,5009.0
revatagaon,1486.0,179.0,0.0784,5167.0,0.8992,5081.0,0.5386,5364.0,0.3361,5377.0
rugi,2072.0,442.0,0.0946,4629.0,0.9255,4748.0,0.5465,5298.0,0.3631,4949.0
salotagi,2291.0,344.0,0.0707,5359.0,0.9255,4748.0,0.5133,5525.0,0.3226,5539.0
shirashyad,731.0,182.0,0.0573,5659.0,0.951,4134.0,0.6986,1754.0,0.3363,5373.0
tadavalaga,2064.0,410.0,0.0663,5465.0,0.8992,5081.0,0.4751,5671.0,0.3048,5694.0
tenahalli,968.0,356.0,0.0783,5169.0,0.8722,5365.0,0.7266,813.0,0.3675,4858.0
umarani,1623.0,479.0,0.1507,2289.0,0.9255,4748.0,0.5475,5292.0,0.4243,3464.0
adavi somanal,934.0,369.0,0.0452,5800.0,0.7905,5744.0,0.5536,5231.0,0.2704,5833.0
bavur,1570.0,295.0,0.0718,5341.0,0.9758,2796.0,0.6549,3315.0,0.358,5045.0
bhantanur,1512.0,180.0,0.0635,5524.0,0.951,4134.0,0.5692,5072.0,0.3252,5509.0
bidarakundi,1122.0,244.0,0.0762,5233.0,1.0,1.0,0.6478,3532.0,0.3669,4871.0
bijjur,1153.0,361.0,0.0634,5527.0,0.951,4134.0,0.6651,2941.0,0.3423,5278.0
dhavalagi,1416.0,252.0,0.0924,4716.0,0.9255,4748.0,0.6908,2044.0,0.3894,4405.0
hadalageri,1208.0,183.0,0.0571,5661.0,0.8992,5081.0,0.5493,5277.0,0.3044,5699.0
hiremural,925.0,212.0,0.0884,4844.0,1.0,1.0,0.6383,3786.0,0.3836,4543.0
hirur,1463.0,299.0,0.1095,4047.0,1.0,1.0,0.6588,3168.0,0.4163,3722.0
ingalageri,1290.0,156.0,0.0672,5446.0,0.951,4134.0,0.6437,3641.0,0.3452,5244.0
kavadimatti,1356.0,225.0,0.0802,5116.0,0.9255,4748.0,0.6243,4150.0,0.3592,5018.0
kodaganur,251.0,232.0,0.0619,5560.0,0.9255,4748.0,0.655,3306.0,0.3348,5399.0
madikeshwar,1263.0,223.0,0.0944,4645.0,0.8992,5081.0,0.6274,4079.0,0.3763,4706.0
minajagi,1376.0,207.0,0.0884,4846.0,0.9758,2796.0,0.6275,4078.0,0.3782,4664.0
mukihal,764.0,189.0,0.0445,5807.0,0.9758,2796.0,0.6003,4626.0,0.2964,5748.0
nagabenal,517.0,113.0,0.0527,5727.0,1.0,1.0,0.5181,5500.0,0.3011,5717.0
tangadagi,1268.0,265.0,0.0835,5009.0,0.9758,2796.0,0.7133,1250.0,0.3873,4455.0
tumbagi,239.0,129.0,0.0628,5540.0,0.951,4134.0,0.6368,3832.0,0.3364,5371.0
yalagur,822.0,185.0,0.0859,4924.0,0.9255,4748.0,0.6159,4340.0,0.3658,4891.0
yarazari,1374.0,205.0,0.0537,5716.0,0.8722,5365.0,0.614,4375.0,0.3063,5681.0
aski,1082.0,176.0,0.0672,5447.0,0.8722,5365.0,0.6366,3841.0,0.3341,5404.0
bekinal,1302.0,187.0,0.0578,5641.0,0.8155,5661.0,0.6476,3538.0,0.3125,5628.0
bommanahalli,1341.0,169.0,0.1576,2057.0,1.0,1.0,0.5965,4694.0,0.4547,2411.0
chattaraki,1143.0,349.0,0.0589,5616.0,0.8992,5081.0,0.5948,4724.0,0.3159,5601.0
chikk rugi,1101.0,196.0,0.0715,5348.0,0.951,4134.0,0.4597,5714.0,0.3151,5606.0
devangaon,1728.0,157.0,0.06,5597.0,0.7905,5744.0,0.557,5193.0,0.2979,5740.0
devar navadagi,1221.0,182.0,0.0451,5802.0,0.8722,5365.0,0.6143,4368.0,0.2891,5780.0
golageri,1158.0,138.0,0.0634,5529.0,0.9255,4748.0,0.6853,2256.0,0.3425,5273.0
gubbewad,216.0,212.0,0.055999999999999994,5685.0,0.9758,2796.0,0.6618,3062.0,0.3307,5448.0
handiganur,955.0,127.0,0.1496,2343.0,0.9758,2796.0,0.6506,3450.0,0.4562,2363.0
haranal,1209.0,227.0,0.0599,5598.0,0.8722,5365.0,0.6941,1930.0,0.331,5444.0
hitnalli,1268.0,231.0,0.0568,5673.0,0.9758,2796.0,0.6212,4226.0,0.3253,5506.0
honnalli,1231.0,222.0,0.1541,2175.0,1.0,1.0,0.6028,4591.0,0.4529,2486.0
hunashyal,1619.0,463.0,0.0841,4995.0,0.7546,5800.0,0.5862,4844.0,0.3338,5410.0
jalawad,1513.0,297.0,0.0642,5509.0,0.8992,5081.0,0.5218,5482.0,0.3111,5643.0
kadani,1256.0,395.0,0.0945,4642.0,0.9255,4748.0,0.5993,4645.0,0.3743,4741.0
kerutagi,1236.0,133.0,0.0836,5006.0,0.605,5877.0,0.525,5464.0,0.2983,5735.0
kokatanur,1502.0,218.0,0.109,4061.0,0.951,4134.0,0.6776,2523.0,0.4127,3813.0
kondaguli,1502.0,175.0,0.057,5666.0,0.9255,4748.0,0.5998,4636.0,0.3163,5597.0
korawar,1574.0,264.0,0.0904,4787.0,0.8155,5661.0,0.5720000000000001,5043.0,0.3481,5205.0
moratagi,1258.0,135.0,0.0634,5526.0,0.8992,5081.0,0.4889,5629.0,0.3032,5704.0
mulasavalagi,1307.0,378.0,0.0596,5606.0,0.8722,5365.0,0.5192,5493.0,0.3,5725.0
rampur .pa,952.0,130.0,0.0943,4651.0,0.951,4134.0,0.6184,4283.0,0.3814,4600.0
sungathan,805.0,89.0,0.0692,5404.0,0.9255,4748.0,0.6186,4280.0,0.3408,5300.0
yalgod,1066.0,107.0,0.0628,5542.0,0.9758,2796.0,0.6139,4377.0,0.335,5394.0
yankanchi,1600.0,173.0,0.0451,5801.0,0.8992,5081.0,0.6473,3547.0,0.2973,5745.0
yaragal .bk,1237.0,122.0,0.0432,5817.0,0.8992,5081.0,0.5547,5219.0,0.2782,5822.0
nagarabetta,1233.0,326.0,0.0626,5547.0,0.951,4134.0,0.633,3923.0,0.3352,5393.0
hingani,647.0,273.0,0.0739,5290.0,0.951,4134.0,0.5829,4896.0,0.3448,5249.0
umaraja,936.0,95.0,0.0649,5493.0,0.951,4134.0,0.6697,2795.0,0.3458,5239.0
sangogi,779.0,114.0,0.0471,5787.0,0.951,4134.0,0.7024,1615.0,0.3157,5603.0
gubbewada,714.0,77.0,0.0543,5704.0,0.9758,2796.0,0.5868,4836.0,0.3145,5609.0
guttaragi,970.0,161.0,0.0406,5832.0,0.9255,4748.0,0.6051,4552.0,0.2834,5806.0
hikkanagutti,878.0,37.0,0.0481,5779.0,0.9758,2796.0,0.614,4372.0,0.3067,5679.0
kakkalameli,1325.0,161.0,0.0575,5651.0,0.8443,5544.0,0.7034,1587.0,0.3244,5520.0
nagavi b.k,934.0,182.0,0.0446,5805.0,0.8992,5081.0,0.4491,5747.0,0.2621,5849.0
bailoor,1142.0,1142.0,0.287,144.0,0.9758,2796.0,0.7221,970.0,0.5869,155.0
belman,2046.0,2046.0,0.2491,373.0,1.0,1.0,0.6905,2056.0,0.5561,376.0
bola,940.0,940.0,0.2345,512.0,1.0,1.0,0.6924,1991.0,0.5456,499.0
erlapadi,937.0,937.0,0.2842,150.0,1.0,1.0,0.7486,336.0,0.597,119.0
hebri,1193.0,1193.0,0.2225,643.0,1.0,1.0,0.6813,2398.0,0.5332,648.0
hirgana,1056.0,1056.0,0.1984,1034.0,0.9758,2796.0,0.6567,3238.0,0.5028,1171.0
idu,1350.0,1350.0,0.2785,177.0,0.951,4134.0,0.6981,1777.0,0.5697,249.0
inna,806.0,806.0,0.233,524.0,1.0,1.0,0.6895,2103.0,0.5436,531.0
kadthala,1127.0,1127.0,0.2571,298.0,0.9758,2796.0,0.7226,946.0,0.5659,278.0
kanthavara,815.0,815.0,0.2998,120.0,0.9758,2796.0,0.7042,1557.0,0.5906,140.0
kuchchuru,943.0,943.0,0.2835,156.0,0.9758,2796.0,0.7223,962.0,0.5846,164.0
kukkundoor,2929.0,2929.0,0.2724,200.0,1.0,1.0,0.7431,429.0,0.5871,153.0
mala,1221.0,1221.0,0.2789,173.0,1.0,1.0,0.7122,1274.0,0.5835,170.0
marne,2228.0,2228.0,0.2557,307.0,1.0,1.0,0.7444,411.0,0.5753,220.0
miyaru,1294.0,1294.0,0.2247,621.0,1.0,1.0,0.733,629.0,0.5482,464.0
mudaru,1308.0,1306.0,0.2494,371.0,0.9758,2796.0,0.6812,2406.0,0.5493,450.0
mudradi,1444.0,1444.0,0.2707,212.0,1.0,1.0,0.7376,531.0,0.5845,167.0
mundkoor,1712.0,1712.0,0.2716,205.0,0.879,5288.0,0.7312,675.0,0.5589,344.0
nadpalu,619.0,619.0,0.2638,250.0,0.9758,2796.0,0.7,1705.0,0.5648,287.0
nalloor,1293.0,1293.0,0.2833,157.0,1.0,1.0,0.7185,1077.0,0.5882,150.0
neere,1286.0,1286.0,0.2473,390.0,0.9758,2796.0,0.7325,648.0,0.5612,315.0
nitte,2596.0,2596.0,0.2577,293.0,0.9758,2796.0,0.7623,168.0,0.5766,214.0
palli,1394.0,1394.0,0.2705,214.0,0.951,4134.0,0.6922,2000.0,0.5626,304.0
renjala,797.0,797.0,0.251,361.0,1.0,1.0,0.657,3222.0,0.5484,463.0
shirlal,776.0,776.0,0.2981,122.0,0.951,4134.0,0.7307,694.0,0.5917,137.0
varanga,1405.0,1405.0,0.2948,126.0,0.7207,5836.0,0.7201,1033.0,0.5348,631.0
aluru,1153.0,1153.0,0.2443,423.0,1.0,1.0,0.7159,1157.0,0.5592,340.0
amasbail,1533.0,1533.0,0.2781,180.0,1.0,1.0,0.7547,247.0,0.5943,125.0
amparu,1069.0,1069.0,0.2651,238.0,1.0,1.0,0.7368,544.0,0.5802,193.0
anagali,806.0,806.0,0.2014,979.0,0.9758,2796.0,0.7296,730.0,0.5234,805.0
balkuru,549.0,549.0,0.248,384.0,0.9255,4748.0,0.7333,626.0,0.5521,419.0
basruru,1416.0,1416.0,0.2454,404.0,0.8578,5472.0,0.7099,1373.0,0.5307,685.0
belooru,732.0,732.0,0.2672,224.0,1.0,1.0,0.7482,340.0,0.5848,163.0
belve,1226.0,1226.0,0.2549,315.0,0.9758,2796.0,0.7068,1473.0,0.5602,325.0
bijadi,1248.0,1248.0,0.2595,281.0,1.0,1.0,0.7081,1431.0,0.5685,256.0
bijooru,1038.0,1038.0,0.2636,252.0,0.9758,2796.0,0.7186,1075.0,0.5697,250.0
byndooru,1523.0,1523.0,0.2258,606.0,1.0,1.0,0.7066,1483.0,0.5423,547.0
chitturu,1033.0,1033.0,0.2573,296.0,1.0,1.0,0.6913,2039.0,0.5623,305.0
gangolli,2105.0,2105.0,0.2449,416.0,1.0,1.0,0.6709999999999999,2754.0,0.5478,467.0
golihole,1286.0,1286.0,0.2095,834.0,0.951,4134.0,0.6152,4354.0,0.4968,1292.0
gujjadi,1122.0,1122.0,0.255,313.0,1.0,1.0,0.7646,147.0,0.5799,196.0
hakladi,690.0,690.0,0.2656,233.0,1.0,1.0,0.669,2813.0,0.5622,308.0
haladi,129.0,129.0,0.2626,262.0,0.8359,5608.0,0.7120000000000001,1287.0,0.5387,590.0
hallihole,1108.0,1108.0,0.281,163.0,1.0,1.0,0.7276,790.0,0.5891,147.0
hangluru,950.0,950.0,0.243,433.0,1.0,1.0,0.7211,1000.0,0.5596,330.0
hardalli-mandalli,1070.0,1070.0,0.21899999999999997,681.0,1.0,1.0,0.6499,3472.0,0.5221,829.0
hattiangadi,1054.0,1054.0,0.249,375.0,0.951,4134.0,0.7242,890.0,0.5556,382.0
hemmadi,876.0,876.0,0.2095,835.0,1.0,1.0,0.6514,3418.0,0.5148,958.0
hengavalli,711.0,711.0,0.2393,469.0,1.0,1.0,0.6778,2515.0,0.5454,501.0
hosangadi,843.0,843.0,0.2434,430.0,1.0,1.0,0.6517,3410.0,0.5414,555.0
jadkal,955.0,955.0,0.2527,338.0,1.0,1.0,0.6596,3147.0,0.5503,439.0
kalavara,1552.0,1552.0,0.2583,287.0,0.9758,2796.0,0.6984,1766.0,0.5604,323.0
kalthodu,1305.0,1305.0,0.2612,270.0,0.9758,2796.0,0.7098,1379.0,0.5656,283.0
kambadakone,116.0,116.0,0.2017,969.0,1.0,1.0,0.635,3884.0,0.5041,1142.0
karkunje,1091.0,1091.0,0.2846,149.0,0.8359,5608.0,0.7264,819.0,0.557,364.0
kavradi,1435.0,1435.0,0.2236,630.0,1.0,1.0,0.6923,1996.0,0.5369,613.0
keduru,928.0,928.0,0.2222,648.0,0.8578,5472.0,0.706,1497.0,0.5124,999.0
keradi,1056.0,1056.0,0.2468,393.0,0.9758,2796.0,0.7131,1255.0,0.5558,380.0
kergal,731.0,731.0,0.2748,191.0,0.9758,2796.0,0.7317,666.0,0.5811,184.0
kirimanjeshwara,1299.0,1299.0,0.2552,312.0,0.951,4134.0,0.6903,2064.0,0.5513,428.0
kolluru,790.0,790.0,0.212,798.0,0.9758,2796.0,0.6944,1918.0,0.5237,798.0
koni,554.0,554.0,0.2241,625.0,1.0,1.0,0.7019,1635.0,0.5398,576.0
kumbashi,1063.0,1063.0,0.2554,311.0,1.0,1.0,0.6558,3279.0,0.5512,429.0
madamakki,706.0,706.0,0.2884,138.0,1.0,1.0,0.752,285.0,0.6009,111.0
maravanthe,1008.0,1008.0,0.263,258.0,1.0,1.0,0.7785,81.0,0.5894,145.0
molahalli,1039.0,1039.0,0.3074,103.0,1.0,1.0,0.7723,107.0,0.6192,71.0
navunda,963.0,963.0,0.2566,300.0,1.0,1.0,0.7472,356.0,0.5767,213.0
paduvari,1469.0,1469.0,0.2927,132.0,1.0,1.0,0.7641,152.0,0.607,104.0
shankaranarayana,1377.0,1377.0,0.2965,123.0,0.9255,4748.0,0.7028,1604.0,0.5777,205.0
shiruru,3487.0,3487.0,0.2384,478.0,1.0,1.0,0.7471,360.0,0.5627,301.0
talluru,1199.0,1199.0,0.2394,467.0,1.0,1.0,0.6535,3360.0,0.5388,586.0
tekkatte,1134.0,1134.0,0.2513,354.0,1.0,1.0,0.6853,2254.0,0.5564,372.0
trasi,644.0,644.0,0.2274,583.0,1.0,1.0,0.7742,98.0,0.5605,322.0
uppunda,2085.0,2085.0,0.2132,781.0,0.9758,2796.0,0.6988,1748.0,0.5258,758.0
vandse,616.0,616.0,0.2716,206.0,0.9255,4748.0,0.7486,332.0,0.573,234.0
yadthare,2121.0,2121.0,0.2809,164.0,1.0,1.0,0.742,441.0,0.5929,130.0
38 kalathur,930.0,930.0,0.2922,133.0,1.0,1.0,0.7024,1617.0,0.5899,144.0
athradi,1147.0,1147.0,0.2881,140.0,1.0,1.0,0.6772,2537.0,0.58,195.0
avarse,1195.0,1195.0,0.2791,172.0,0.9758,2796.0,0.7222,966.0,0.5816,179.0
bada,1635.0,1635.0,0.1865,1276.0,1.0,1.0,0.7145,1207.0,0.5108,1027.0
badanidiyur,830.0,830.0,0.2651,237.0,1.0,1.0,0.6768,2551.0,0.5641,289.0
bairampalli,1149.0,1149.0,0.2656,234.0,0.951,4134.0,0.7099,1376.0,0.5639,292.0
barkur,1074.0,1074.0,0.2647,243.0,1.0,1.0,0.7387,506.0,0.5804,190.0
belle,1554.0,1554.0,0.2354,504.0,1.0,1.0,0.7137,1236.0,0.5518,423.0
billadi,936.0,936.0,0.2531,335.0,0.9758,2796.0,0.6906,2053.0,0.5546,389.0
bommarabettu,1953.0,1953.0,0.2423,444.0,0.9758,2796.0,0.6981,1778.0,0.5485,461.0
chantharu,1759.0,1759.0,0.2803,168.0,0.9758,2796.0,0.6689,2819.0,0.5677,260.0
cherkadi,1174.0,1174.0,0.3008,118.0,1.0,1.0,0.7303,708.0,0.6034,109.0
handadi,1456.0,1456.0,0.28600000000000003,147.0,0.8359,5608.0,0.7134,1244.0,0.5545,390.0
haradi,1525.0,1525.0,0.2604,273.0,0.9758,2796.0,0.6543,3331.0,0.5498,444.0
havanje,856.0,856.0,0.2713,208.0,1.0,1.0,0.7348,587.0,0.5842,169.0
heggunje,1198.0,1198.0,0.3105,99.0,0.9758,2796.0,0.693,1966.0,0.5944,122.0
hejamadi,1732.0,1732.0,0.2357,501.0,0.9758,2796.0,0.6538,3352.0,0.5318,668.0
innanje,1217.0,1217.0,0.27399999999999997,197.0,1.0,1.0,0.7216,984.0,0.5826,177.0
irodi,1081.0,1081.0,0.2704,215.0,0.9758,2796.0,0.7418,446.0,0.5806,188.0
kadur,858.0,858.0,0.3102,100.0,0.951,4134.0,0.7321,656.0,0.6,113.0
karje,957.0,957.0,0.2916,135.0,0.951,4134.0,0.7027,1607.0,0.5798,198.0
kodi,1138.0,1138.0,0.2799,169.0,0.9758,2796.0,0.7156,1170.0,0.5803,191.0
kodibettu,1568.0,1568.0,0.2708,211.0,0.9758,2796.0,0.722,975.0,0.5756,219.0
kokkarne,1431.0,1431.0,0.2547,318.0,1.0,1.0,0.6922,2009.0,0.5607,317.0
kota,1743.0,1743.0,0.2254,612.0,1.0,1.0,0.6405,3725.0,0.5246,784.0
kotathattu,1005.0,1005.0,0.2813,162.0,1.0,1.0,0.6832,2335.0,0.5770000000000001,210.0
kote,1264.0,1264.0,0.2999,119.0,1.0,1.0,0.7215,986.0,0.6004,112.0
kukkehalli,1056.0,1056.0,0.2933,128.0,1.0,1.0,0.7021,1630.0,0.5905,142.0
kurkalu,1210.0,1210.0,0.2769,184.0,1.0,1.0,0.7048,1538.0,0.5801,194.0
kuthyaru,1436.0,1436.0,0.2544,324.0,0.9758,2796.0,0.7043,1555.0,0.5592,339.0
majur,1071.0,1071.0,0.2443,422.0,0.9255,4748.0,0.7067,1477.0,0.5426,540.0
manipura,1324.0,1324.0,0.3209,87.0,1.0,1.0,0.7477,353.0,0.6214,67.0
mudarangadi,1589.0,1589.0,0.3045,111.0,0.9758,2796.0,0.7309,689.0,0.6011,110.0
nalkur,1454.0,1454.0,0.3145,92.0,0.9758,2796.0,0.7339,605.0,0.6084,101.0
padubidri,2887.0,2887.0,0.2808,165.0,1.0,1.0,0.7585,204.0,0.5972,117.0
palimaru,1265.0,1265.0,0.2804,167.0,0.951,4134.0,0.7117,1301.0,0.5747,222.0
pandeshwara,1136.0,1136.0,0.2882,139.0,0.9758,2796.0,0.7467,371.0,0.5944,123.0
perdoor,2301.0,2301.0,0.3098,101.0,1.0,1.0,0.7436,419.0,0.613,86.0
shiriyara,1114.0,1114.0,0.3317,77.0,1.0,1.0,0.6848,2279.0,0.6102,94.0
shirva,2573.0,2573.0,0.3118,95.0,1.0,1.0,0.7235,915.0,0.6087,99.0
thenka,984.0,984.0,0.2421,447.0,1.0,1.0,0.6641,2982.0,0.5437,528.0
udyavara,2561.0,2561.0,0.3267,84.0,1.0,1.0,0.7559999999999999,231.0,0.6274,56.0
uppoor,1826.0,1826.0,0.258,289.0,1.0,1.0,0.721,1004.0,0.5708,243.0
vaddarse,1370.0,1370.0,0.2758,187.0,0.951,4134.0,0.7053,1517.0,0.5698,248.0
yadthadi,1058.0,1058.0,0.3053,109.0,1.0,1.0,0.7061,1495.0,0.5996,114.0
yellur,1292.0,1292.0,0.2741,194.0,1.0,1.0,0.7328,639.0,0.5856,159.0
kalya,783.0,783.0,0.2654,236.0,1.0,1.0,0.6878,2170.0,0.5673,265.0
chara,1102.0,1102.0,0.2211,663.0,1.0,1.0,0.6978,1792.0,0.5363,619.0
irvathuru,613.0,613.0,0.28800000000000003,141.0,0.9758,2796.0,0.6795,2463.0,0.5759,218.0
korgi,761.0,761.0,0.2813,161.0,0.951,4134.0,0.7411,462.0,0.5831,174.0
gulwadi,928.0,928.0,0.2397,463.0,1.0,1.0,0.6734,2675.0,0.5445,518.0
gopadi,768.0,768.0,0.2546,323.0,0.9758,2796.0,0.7092,1397.0,0.5606,320.0
alanahalli,1937.0,1601.0,0.2124,793.0,0.951,4134.0,0.6753,2603.0,0.5147,962.0
annur,1325.0,1016.0,0.1728,1608.0,0.9758,2796.0,0.6853,2255.0,0.4871,1523.0
antharasanthe,1344.0,746.0,0.1873,1252.0,1.0,1.0,0.7163,1150.0,0.512,1005.0
